Age,Gender,Comment
25-34,null,Busy but a good quality hotel. Would stay again.
18-24,MALE,Great Old Dame I have been in Madrid several times before I have stayed in many hotels there but none compare to the Palace It is ideally located next to Madrids main museums. Its service couldnt be better the concierge can get you a reservation wherever you want everyone is willing to help to make your stay the best possible. I also recommend a lot the hotels breakfast it is simply amazing
35-49,MALE,Great time in the Dominican I went with my now fiance I proposed there and found the Bavaro to be beautiful. The grounds were well cared for and the lobby gorgeous. My travel agent booked through Apple and there was an Apple rep in the larger lobby area. This was both convient and comforting. The beach was the most beautiful Ive seen. Plenty of room and seats to sunbathe. Our room was spacious and clean. A wet bar in the room was just right for evening cocktails on the porch of our room. The staff were friendly and courteous. We did however have problems with water pressure in our room. Though the food selection had a wide variety it was only fair tasting and left us with minor stomache trouble. The entertainment had an impressively wide range but could be amateurish at times. All tried hard though wich made it for the most part fun. The beach and pool area had a burger and hot dog stand. It was so bad it had an almost comic value AVOID While we were there a fire burnt down a large building near the pool and beach closing at least 3 restaurants. Even so there were still plenty of places to eat and drink and the staff worked very hard to clean up and make up for the loss. The grounds are HUGE and though they have regular shuttle service to and from the rooms and lobby be ready for long walks. Not the fanciest place in the world but was appropiately priced and I had a great time.
35-49,FEMALE,Great Staff in New Orleans The French Quarter Courtyard is a good place to stay if you want to visit the French Quarter and are on a budget. The best thing about the hotel is the staff. Miss Wendy will accomodate your requests without hesitation. Also the valets will get your car at any time without delay. The rooms are clean but could use some updating of the furniture and bathrooms. If you have loud neighbors that come in late you will definitely hear them. I was traveling on business by myself and really did not think the neighborhood was too safe at night to be out alone. But if you have some other people with you I dont think that you would have any problems with the location of the hotel. This hotel is for someone that wants to experience a quaint hotel and is not expecting the Four Seasons.
50-64,MALE,Decent enough hotel I have mixed feelings about my stay at this hotel. The staff were excellent and very helpful. When I had problems with their WiFi it didnt work or when I accidentally broke one of the shade cords in my room they were very prompt in 5 minutes in fixing the problem. They were also great for the diving I did with Caribe Aquatic Adventures.On the down side I thought their continental breakfast was sorrowful. Theyre also 2 miles from Old San Juan. It cost me $10 each way to go to and from there via a taxi.If you intend to see Old San Juan Id try to find a hotel that is closer. If you want one that is close to a beach this might be the one for you. If you want one close to the cruise ship piers you might want to find one closer to the piers. Itll cost you $13.50 via taxi to get to the Pan American pier from this hotel and $10 to get to pier 4 which I believe is used for transiting cruise ships.
null,MALE,Convenient When I say Above Average Im comparing to sparse alternative offerings in the Ponce area and being an avid golfer this place having no competition in the south central portion to the island. The resort was easy to get to and conveniently located but it in the greater worldwide scheme of things wasnt anything close to special. Furthermore aside from the outstanding 27 hole on site golf course it was not redeeming other than it was situated on the ocean to be more precise the Carribean Sea and had two separate pool and beach areas one moderate size family pool with large beach area at hotel and another dazzling adult pool with small beach area at the golf course clubhouse complex. We ate out in town but availed ourselves to the bar lounge area good but expensive mixed drinks and beer and to the casino okay but not exciting and no Vegas - or Mesquite for that matter. The rooms were clean and all have a view toward the ocean overlooking the gardened grounds but it was not spacious or memorable. At this low season stay we still had to pay a AAA rate of $160 and pony up an extra $8 parking fee for the priviledge of parking in one of several hundred unsused spaces in a cavernous parking lot as well as a $11+ resort fee were told to pay for groundskeeping costs. All in all this single night stay and playing the full 27 holes of golf was fine and dandy but it doesnt beckon to me to pay a return visit.
35-49,MALE,Good stay geat way to have a bfast
25-34,MALE,Huge room great location What a surprise upon arrival.......when I entered the small lobby I thought this was going to be one of those boutique hotels that only looked nice on websites...but it wasnt like that when we got into our huge room. Theres a living area separate from the big comfortable bed and also a separate office area....the bathroom was huge ase well. The room was extremely comfortable and the decorations are very classy. The location is right by the Sony Center but a bit far from the main shopping area. I would stay at this hotel again when I visit Berlin...the size of the rooms cant be beat in Europe.
35-49,MALE,Thin walls Good value rooms Pleasantly surprised by room sizenot huge but adequate.Comfybeds and clean bathroom.What annoyed us was the noise levels from either side until the early hoursalmost like they were in the room with you In a good location for seeing the sights.The hotel staff could do with brushing up on the surrounding areaas i asked directions to a well known restaraunt and believe it or not the main bus station and they couldnt tell me where either were.
35-49,MALE,Great location hit-or-miss service View from foyer to the room bathroom on the right.
